"KEY","en","notes","sp","fr","de","it","pt-br"
"ITEM_ANARCHISTCOOKBOOK_DESC","使用：召喚 3-5 顆手榴彈，於回合結束或被摧毀時爆炸。","","Uso: Invoca 3-5 granadas que estallan al final de la ronda o cuando se destruyen.","Utilisation&nbsp;: fait apparaître 3&nbsp;à 5&nbsp;grenades qui explosent en fin de manche ou en étant détruites.","Benutzen: Lasse 3&nbsp;– 5 Granaten erscheinen, die am Ende der Runde, oder wenn sie zerstört werden, explodieren.","Uso: Evochi 3-5 granate che esplodono alla fine del round o quando vengono distrutte.","Uso: invoque 3-5 granadas que explodem no final da rodada ou ao serem destruídas."
"ITEM_ANOINTINGOIL_NAME","祝聖油","","Óleo de los enfermos","Huile d'onction","Salböl","Olio da Unzione","Óleo de Unção"
"ITEM_ANOINTINGOIL_DESC","使用：為相鄰單位或自己清除減益。`n[s:.7](每場戰鬥可用一次。)[/s]","","Uso: Elimina las desventajas de esta unidad o de otra adyacente.
[s:.7](Disponible una vez por combate).[/s]","Utilisation&nbsp;: dissipe les malus d'une unité adjacente ou de vous-même.
[s:.7](Utilisable 1&nbsp;fois par combat.)[/s]","Benutzen: Reinige deine Schwächungen oder die einer benachbarten Einheiten.
[s:.7](Einmal pro Kampf verwendbar.)[/s]","Uso: Rimuovi i malus da te o da un'unità adiacente.
[s:.7](Utilizzabile una volta per battaglia.)[/s]","Uso: purifique enfraquecimentos de si ou de uma unidade adjacente.
[s:.7](Um uso por batalha.)[/s]"
"ITEM_BAGOFCHUM_NAME","魚餌袋","","Bolsa de cebo","Sac d'asticots","Ködertasche","Sacco di Pastura","Bolsa de Iscas"
"ITEM_BAGOFCHUM_DESC","使用：召喚一隻被魅惑的蛆蟲。","","Uso: Genera un gusano embrujado.","Utilisation&nbsp;: invoque un asticot envoûté.","Benutzen: Rufe eine freundliche Made.","Uso: Generi una Larva Ammaliata.","Uso: gere um verme enfeitiçado."
"ITEM_BAGOFGLASS_NAME","玻璃袋","","Bolsa de cristales","Sac de verre","Scherbentasche","Sacco di Vetro","Saco de Vidro"
"ITEM_BAGOFGLASS_DESC","使用：在相鄰地格生成玻璃。`n使用時有 5% 機率損壞。","","Uso: Genera cristales en una casilla adyacente.
5 % de probabilidad de romperse al usarla.","Utilisation&nbsp;: fait apparaître du verre sur une case adjacente.
5&nbsp;% de chances de se briser après utilisation.","Benutzen: Lasse auf einem benachbarten Feld Scherben erscheinen.
Geht nach Benutzung mit 5%iger Wahrscheinlichkeit kaputt.","Uso: Generi Vetro su una casella adiacente.
5% di probabilità di rompersi quando viene utilizzato.","Uso: gere vidro em um espaço adjacente.
5% de chance de quebrar após o uso."
"ITEM_BAGOFGLITTER_NAME","亮粉袋","","Bolsa de brillibrilli","Sac de paillettes","Glitzertasche","Sacco di Brillantini","Saco de Purpurina"
"ITEM_BAGOFGLITTER_DESC","使用：對相鄰單位施加致盲 2。`n使用時有 5% 機率損壞。","","Uso: Inflige 2 de ceguera a una unidad adyacente.
5 % de probabilidad de romperse al usarla.","Utilisation&nbsp;: inflige Cécité +2&nbsp;à une unité adjacente.
5&nbsp;% de chances de se briser après utilisation.","Benutzen: Verursache Blindheit&nbsp;2 bei einer benachbarten Einheit.
Geht nach Benutzung mit 5%iger Wahrscheinlichkeit kaputt.","Uso: Infliggi Accecamento 2 a un'unità adiacente.
5% di probabilità di rompersi quando viene utilizzato.","Uso: aplique cegueira 2 em uma unidade adjacente.
5% de chance de quebrar após o uso."
"ITEM_BAGOFMEAT_NAME","肉塊袋","","Bolsa de carne","Sac de viande","Fleischtasche","Sacco di Carne","Saco de Carne"
"ITEM_BAGOFMEAT_DESC","使用：在相鄰地格生成肉塊。`n使用時有 5% 機率損壞。","","Uso: Genera carne en una casilla adyacente.
5 % de probabilidad de romperse al usarla.","Utilisation&nbsp;: fait apparaître de la viande sur une case adjacente.
5&nbsp;% de chances de se briser après utilisation.","Benutzen: Lasse auf einem benachbarten Feld Fleisch erscheinen.
Geht nach Benutzung mit 5%iger Wahrscheinlichkeit kaputt.","Uso: Generi Carne su una casella adiacente.
5% di probabilità di rompersi quando viene utilizzato.","Uso: gere carne em um espaço adjacente.
5% de chance de quebrar após o uso."
"ITEM_BAGOFROCKS_NAME","石頭袋","","Bolsa de rocas","Sac de pierres","Steintasche","Sacco di Rocce","Saco de Pedras"
"ITEM_BAGOFROCKS_DESC","使用：造成挫傷的近戰攻擊。","","Uso: Lanza un ataque cuerpo a cuerpo que inflige moratón.","Utilisation&nbsp;: une attaque au corps à corps qui inflige Contusion.","Benutzen: Ein Nahkampfangriff, der Beulen verursacht.","Uso: Un attacco corpo a corpo che infligge Livido.","Uso: um ataque corpo-a-corpo que aplica contusão."
"ITEM_BAGOFSTUFF_NAME","雜物袋","","Bolsa de chismes","Sac mystère","Tasche mit Zeug","Sacco di Roba","Saco de Coisas"
"ITEM_BAGOFSTUFF_DESC","使用：在相鄰地格生成一個隨機拾取物。`n使用時有 5% 機率損壞。","","Uso: Genera un recogible al azar en una casilla adyacente.
5 % de probabilidad de romperse al usarla.","Utilisation&nbsp;: fait apparaître une ressource aléatoire sur une case adjacente.
5&nbsp;% de chances de se briser après utilisation.","Benutzen: Lasse auf einem benachbarten Feld einen zufälligen Gegenstand erscheinen.
Geht nach Benutzung mit 5%iger Wahrscheinlichkeit kaputt.","Uso: Generi un oggetto casuale su una casella adiacente.
5% di probabilità di rompersi quando viene utilizzato.","Uso: gere um coletável aleatório em um espaço adjacente.
5% de chance de quebrar após o uso."
"ITEM_BALLPEENHAMMER_NAME","圓頭鎚","","Martillo de bola","Marteau à panne ronde","Schlosserhammer","Martello a Penna Sferica","Martelo de Bola"
"ITEM_BALLPEENHAMMER_DESC","使用：近戰攻擊。若對友軍使用，則改為讓其所有物品 +1 使用次數而非造成傷害。`n用於修理物品時有 5% 機率損壞。","","Uso: Al lanzar este ataque cuerpo a cuerpo contra un aliado, otorga +1 uso a todos sus objetos en vez de infligir daño.
5 % de probabilidad de romperse al usarlo para reparar objetos.","Utilisation&nbsp;: une attaque au corps à corps. Utilisé sur un allié, accorde Utilisation +1&nbsp;à tous ses objets au lieu d'infliger des dégâts.
5&nbsp;% de chances de se briser après avoir été utilisé pour réparer des objets.","Benutzen. Ein Nahkampfangriff. Ist das Ziel ein Verbündeter, verleihe all seinen Gegenstand +1&nbsp;Anwendung statt Schaden zu verursachen.
Geht nach Reparatur mit 5%iger Wahrscheinlichkeit kaputt.","Uso: Un attacco corpo a corpo. Se usato su un alleato, conferisce +1 utilizzo a tutti i suoi oggetti invece di infliggere danno.
5% di probabilità di rompersi quando viene utilizzato per riparare oggetti.","Uso: um ataque corpo-a-corpo. Se utilizado em um aliado, concede +1 de todos os seus itens ao invés de causar dano.
5% de chance de quebrar após o uso."
"ITEM_BARBEDPAW_NAME","倒刺爪","","Pata de espino","Patoune barbelée","Dornentatze","Zampa Spinata","Pata Farpada"
"ITEM_BARBEDPAW_DESC","使用：施加流血 1 的近戰攻擊。`n被動：+1 荊棘。","","Uso: Lanza un ataque cuerpo a cuerpo que inflige 1 de hemorragia.
Pasiva: +1 de espinas.","Utilisation&nbsp;: une attaque au corps à corps qui inflige Saignement +1.
Passif&nbsp;: Épines +1.","Benutzen: Ein Nahkampfangriff, der Blutung&nbsp;1 verursacht.
Passiveffekt: +1&nbsp;Dornen.","Uso: Un attacco corpo a corpo che infligge Sanguinamento 1.
Abilità Passiva: +1 Spine.","Uso: um ataque corpo-a-corpo que aplica sangramento 1.
Passivo: +1 de espinhos."
"ITEM_BATTERY_NAME","電池","","Batería","Batterie","Batterie","Batteria","Pilha"
"ITEM_BATTERY_DESC","使用：遠程雷電攻擊，有 10% 機率施加暈眩。","","Uso: Lanza un ataque relámpago a distancia con un 10 % de probabilidad de aturdir.","Utilisation&nbsp;: un éclair lancé à distance avec 10&nbsp;% de chances d'infliger Étourdissement.","Benutzen: Ein Fernkampf-Blitzangriff, der mit 10%iger Wahrscheinlichkeit Betäubung verursacht.","Uso: Un attacco elettrico a distanza con un 10% di probabilità di infliggere Stordimento.","Uso: um ataque elétrico à distância com 10% de chance de atordoar."
"ITEM_BATTLEAXE_NAME","戰斧","","Hacha de guerra","Hache de guerre","Streitaxt","Ascia da Battaglia","Machado de Batalha"
"ITEM_BATTLEAXE_DESC","使用：近戰旋轉攻擊。`n這會同時消耗你的移動與攻擊行動。","","Uso: Lanza un ataque giratorio cuerpo a cuerpo.
Este objeto gasta la acción de movimiento.","Utilisation&nbsp;: une attaque au corps à corps tournoyante.
Consomme à la fois votre action de déplacement et votre action d'attaque.","Benutzen: Ein Nahkampf-Wirbelangriff.
Verbraucht deine Bewegungsaktion und deinen Angriff.","Uso: Un attacco rotante corpo a corpo.
Consuma sia la tua azione di movimento che quella di attacco.","Uso: um ataque corpo-a-corpo giratório.
Este item usa sua ação de movimento."
"ITEM_BEARTRAPS_NAME","捕熊夾","","Cepos para osos","Pièges à ours","Bärenfalle","Trappole per Orsi","Armadilhas de Urso"
"ITEM_BEARTRAPS_DESC","使用：放置一個捕熊夾。","","Uso: Coloca un cepo para osos.","Utilisation&nbsp;: place un piège à ours.","Benutzen: Lege eine Bärenfalle.","Uso: Piazzi una Trappola per Orsi.","Uso: prepare uma armadilha de urso."
"ITEM_BENTSPOON_NAME","彎湯匙","","Cuchara doblada","Cuillère tordue","Verbogener Löffel","Cucchiaio Piegato","Colher Dobrada"
"ITEM_BENTSPOON_DESC","使用：將任意單位拉近你 1 格並對其造成 1 傷害。","","Uso: Atrae a cualquier unidad 1 casilla y le inflige 1 de daño.","Utilisation&nbsp;: tire n'importe quelle unité d'une case vers vous et lui infligez 1&nbsp;dégât.","Benutzen: Ziehe eine beliebige Einheit 1&nbsp;Feld an dich heran und füge ihr 1&nbsp;Schaden zu.","Uso: Tiri un'unità qualsiasi di 1 casella verso di te e le infliggi 1 danno.","Uso: puxe qualquer unidade 1 espaço na sua direção e cause 1 de dano a ela."
"ITEM_BIBLE_NAME","聖經","","La Biblia","La Sainte Bible","Die Bibel","La Bibbia","Bíblia"
"ITEM_BIBLE_DESC","使用：清除近戰範圍內單位一層隨機減益。`n被動：你的治療額外多治 1 點。","","Uso: Elimina una acumulación de una desventaja al azar de una unidad que esté al alcance del cuerpo a cuerpo. 
Pasiva: Las acciones curativas devuelven 1 PS extra.","Utilisation&nbsp;: dissipe le cumul d'un malus aléatoire d'une unité au corps à corps.
Passif&nbsp;: vos soins guérissent 1&nbsp;fois de plus.","Benutzen: Reinige einen Stapel einer zufälligen Schwächung bei einer Einheit in Nahkampfreichweite.
Passiveffekt: Deine Heilungen heilen 1&nbsp;LP mehr.","Uso: Rimuovi uno stack di un malus casuale da un'unità a una distanza corpo a corpo.
Abilità Passiva: Le tue cure rigenerano 1 PS in più.","Uso: purifique uma acumulação de um enfraquecimento aleatório de uma unidade dentro do alcance corpo-a-corpo.
Passivo: suas curas são 1 ponto mais efetivas."
"ITEM_BIGGESTSTICK_NAME","最大木棍","","Palo grandísimo","Gigabâton","Der größte Stock","Bastone Enorme","Bastão Enorme"
"ITEM_BIGGESTSTICK_DESC","使用：+3 觸及的近戰攻擊。","","Uso: Lanza un ataque cuerpo a cuerpo con +3 de extensión.","Utilisation&nbsp;: une attaque au corps à corps avec Allonge +3.","Benutzen: Ein Nahkampfangriff mit +3&nbsp;Reichweite.","Uso: Un attacco corpo a corpo con portata +3.","Uso: um ataque corpo-a-corpo com +3 de envergadura."
"ITEM_BIGSPRING_NAME","大彈簧","","Muelle grande","Gros ressort","Große Feder","Molla Gigante","Mola Grande"
"ITEM_BIGSPRING_DESC","使用：將相鄰單位投擲到指定地格。","","Uso: Lanza a una unidad adyacente hacia otra casilla.","Utilisation&nbsp;: propulse une unité adjacente sur une case.","Benutzen: Wirf eine benachbarte Einheit auf ein beliebiges Feld.","Uso: Lanci un'unità adiacente su una casella.","Uso: lance uma unidade adjacente em um espaço."
"ITEM_BIGSTICK_NAME","大木棍","","Palo grande","Gros bâton","Großer Stock","Bastone Grande","Bastão Grande"
"ITEM_BIGSTICK_DESC","使用：+2 觸及的近戰攻擊。","","Uso: Lanza un ataque cuerpo a cuerpo con +2 de extensión.","Utilisation&nbsp;: une attaque au corps à corps avec Allonge +2.","Benutzen: Ein Nahkampfangriff mit +2&nbsp;Reichweite.","Uso: Un attacco corpo a corpo con portata +2.","Uso: um ataque corpo-a-corpo com +2 de envergadura."
"ITEM_BLACKJACK_NAME","短棍","","Cachiporra","Matraque","Schlagstock","Manganello","Blackjack"
"ITEM_BLACKJACK_DESC","使用：近戰攻擊，有 5% 機率施加暈眩。`n當你停在敵人旁邊或敵人停在你旁邊時會自動使用。","","Uso: Lanza un ataque cuerpo a cuerpo con un 5 % de probabilidad de aturdir.
Se usa automáticamente cuando esta unidad se detiene junto a un enemigo o viceversa.","Utilisation&nbsp;: une attaque au corps à corps avec 5&nbsp;% de chances d'infliger Étourdissement.
Utilisation automatique quand vous vous arrêtez à côté d'un ennemi ou qu'un ennemi se place à côté de vous.","Benutzen: Ein Nahkampfangriff, der mit 5%iger Wahrscheinlichkeit Betäubung verursacht.
Benutze ihn automatisch, wenn du neben einem Gegner stehenbleibst oder ein Gegner neben dir stehenbleibt.","Uso: Un attacco corpo a corpo con un 5% probabilità di infliggere Stordimento.
Lo usi automaticamente quando ti fermi accanto a un nemico o un nemico si ferma accanto a te.","Uso: um ataque corpo-a-corpo com 5% de chance de atordoar.
Use isto automaticamente ao parar ao lado de um inimigo ou um inimigo parar ao seu lado."
"ITEM_BLACKMUSHROOM_NAME","黑蘑菇","","Seta negra","Champi noir","Schwarzer Pilz","Fungo Nero","Cogumelo Preto"
"ITEM_BLACKMUSHROOM_DESC","使用：施加弱點 2 的遠程攻擊。`n[s:.7](每場戰鬥可用一次。)[/s]","","Uso: Lanza un ataque a distancia que inflige 2 de debilidad.
[s:.7](Disponible una vez por combate).[/s]","Utilisation&nbsp;: une attaque à distance qui inflige Vulnérabilité 2.
[s:.7](Utilisable 1&nbsp;fois par combat.)[/s]","Benutzen: Ein Fernkampfangriff, der Schwäche&nbsp;2 verursacht.
[s:.7](Einmal pro Kampf verwendbar.)[/s]","Uso: Un attacco a distanza che infligge Debolezza 2.
[s:.7](Utilizzabile una volta per battaglia.)[/s]","Uso: um ataque à distância que aplica fraqueza 2.
[s:.7](Um uso por batalha.)[/s]"
"ITEM_BLESSEDANOINTINGOIL_NAME","神聖祝聖油","","Santos óleos","Huile d'onction bénie","Gesegnetes Salböl","Olio da Unzione Benedetto","Óleo de Unção Abençoado"
"ITEM_BLESSEDANOINTINGOIL_DESC","使用：為相鄰單位或自己清除減益並治療。","","Uso: Elimina las desventajas y cura a esta unidad o a otra adyacente.","Utilisation&nbsp;: dissipe les malus et régénère les PV d'une unité adjacente ou de vous-même.","Benutzen: Reinige Schwächungen und heile dich oder eine benachbarte Einheit.","Uso: Rimuove i malus e cura te o un'unità adiacente.","Uso: purifique enfraquecimentos e cure a si ou uma unidade adjacente."
"ITEM_BLOODBUCKET_NAME","血桶","","Cubo de sangre","Seau de sang","Bluteimer","Secchio di Sangue","Balde de Sangue"
"ITEM_BLOODBUCKET_DESC","使用：一次可拋射攻擊，生成一灘蠕動物。","","Uso: Lanza un ataque en arco que crea un charco de líquido tóxico.","Utilisation&nbsp;: une attaque en cloche qui génère une flaque de substance visqueuse.","Benutzen: Ein Angriff, der Hindernisse ignoriert und eine gruselige Pfütze erschafft.","Uso: Un attacco a parabola che crea una pozza di melma.","Uso: um ataque em arco que cria uma poça de videiras."
"ITEM_BLOODYBAGOFGLASS_NAME","血腥玻璃袋","","Bolsa sangrienta de cristales","Sac de verre ensanglanté","Blutige Scherbentasche","Sacco di Vetro Insanguinato","Saco de Vidro Ensanguentado"
"ITEM_BLOODYBAGOFGLASS_DESC","使用：投擲會生成玻璃的投射物。","","Uso: Lanza un proyectil que crea cristales.","Utilisation&nbsp;: lance un projectile faisant apparaître du verre.","Benutzen: Wirf ein Geschoss, das Glas erscheinen lässt.","Uso: Lanci un proiettile che crea vetro.","Uso: lance um projétil que cria vidro."
"ITEM_BLOODYBEARTRAPS_NAME","血腥捕熊夾","","Cepos sangrientos para osos","Pièges à ours ensanglantés","Blutige Bärenfalle","Trappole per Orsi Insanguinate","Armadilhas de Urso Ensanguentadas"
"ITEM_BLOODYBEARTRAPS_DESC","使用：放置一個捕熊夾。","","Uso: Coloca un cepo para osos.","Utilisation&nbsp;: place un piège à ours.","Benutzen: Lege eine Bärenfalle.","Uso: Piazzi una Trappola per Orsi.","Uso: prepare uma armadilha de urso."
"ITEM_BLOODYBUTTERFLYKNIFE_NAME","血腥小刀","","Cuchillo sangriento","Couteau ensanglanté","Blutiges Messer","Coltello Insanguinato","Faca Ensanguentada"
"ITEM_BLOODYBUTTERFLYKNIFE_DESC","使用：具有吸血並施加流血的多段近戰攻擊。`n[s:.7](每場戰鬥可用一次。)[/s]","","Uso: Lanza un ataque cuerpo a cuerpo que golpea varias veces con robavida y que inflige hemorragia.
[s:.7](Disponible una vez por combate).[/s]","Utilisation&nbsp;: une attaque multiple au corps à corps avec Vol de vie qui inflige Saignement.
[s:.7](Utilisable 1&nbsp;fois par combat.)[/s]","Benutzen: Ein mehrfach treffender Nahkampfangriff, der Leben absaugt und Blutung verursacht.
[s:.7](Einmal pro Kampf verwendbar.)[/s]","Uso: Un attacco corpo a corpo multi-colpo con Rubavita che infligge Sanguinamento.
[s:.7](Utilizzabile una volta per battaglia.)[/s]","Uso: um ataque corpo-a-corpo multigolpes com roubo de vida que aplica sangramento.
[s:.7](Um uso por batalha.)[/s]"
"ITEM_BLOODYMEATHOOK_NAME","血腥肉鉤","","Gancho sangriento para carne","Crochet de boucher ensanglanté","Blutiger Fleischhaken","Uncino da Carne Insanguinato","Gancho de Carne Ensanguentado"
"ITEM_BLOODYMEATHOOK_DESC","使用：將一個單位拉向你，並造成劈砍且施加流血 1。","","Uso: Atrae a una unidad, le practica una incisión y le inflige 1 de hemorragia.","Utilisation&nbsp;: attire une unité vers vous, effectue une attaque tranchante et inflige Saignement 1.","Benutzen: Zieh eine Einheit an dich heran und verursache Blutung&nbsp;1.","Uso: Tiri un'unità verso di te, infliggendole Fendente e Sanguinamento 1.","Uso: puxe uma unidade na sua direção, causando cisão e aplicando sangramento 1."
"ITEM_BLOODYSOULCLAW_NAME","血腥靈魂爪","","Garra de alma sangrienta","Griffe spirituelle ensanglantée","Blutige Seelenkralle","Artiglio dell'Anima Insanguinato","Garra de Alma Ensanguentada"
"ITEM_BLOODYSOULCLAW_DESC","使用：造成傷害等同此武器剩餘使用次數的近戰攻擊。`n此武器擊殺單位時，獲得 +2 使用次數並回復 5 生命。","","Uso: Lanza un ataque cuerpo a cuerpo que inflige el mismo daño que usos queden.
Cuando el arma mata a una unidad, obtiene +2 usos y esta unidad recupera 5 PS.","Utilisation&nbsp;: une attaque au corps à corps qui inflige des dégâts égaux au nombre d'utilisations restantes.
Quand cette arme achève une unité, elle gagne Utilisation +2&nbsp;et vous récupérez 5&nbsp;PV.","Benutzen: Ein Nahkampfangriff, dessen Schaden der Anzahl seiner verbleibenden Anwendungen entspricht.
Tötet diese Waffe eine Einheit, erhält sie +2&nbsp;Benutzungen und du heilst dich um 5&nbsp;LP.","Uso: Un attacco corpo a corpo che infligge danno pari al numero di utilizzi rimasti.
Quando quest'arma uccide un'unità, ottiene +2 utilizzi e tu recuperi 5 PS.","Uso: um ataque corpo-a-corpo que causa dano equivalente à quantidade de usos restantes que este item possui.
Quando esta arma mata uma unidade, ela obtém +2 usos e cura 5 PV."
"ITEM_BLOODYSPIKES_NAME","血腥尖刺","","Pinchos sangrientos","Pics ensanglantés","Blutige Spitzen","Spine Insanguinate","Espinhos Ensanguentados"
"ITEM_BLOODYSPIKES_DESC","+1 荊棘。`n使用：遠程攻擊。","","+1 de espinas.
Uso: Lanza un ataque a distancia.","Épines +1.
Utilisation&nbsp;: une attaque à distance.","+1&nbsp;Dornen.
Benutzen: Ein Fernkampfangriff.","+1 Spine.
Uso: Un attacco a distanza.","+1 de espinhos.
Uso: um ataque à distância."
"ITEM_BLOODYSTICK_NAME","血腥木棍","","Palo sangriento","Bâton ensanglanté","Blutiger Stock","Bastone Insanguinato","Bastão Ensanguentado"
"ITEM_BLOODYSTICK_DESC","+1 生命回復。`n使用：+1 觸及的近戰攻擊。","","+1 de regeneración de salud.
Uso: Lanza un ataque cuerpo a cuerpo con +1 de extensión.","Régénération de PV +1.
Utilisation&nbsp;: une attaque au corps à corps avec Allonge +1.","+1&nbsp;Lebensregeneration.
Benutzen: Ein Nahkampfangriff mit +1&nbsp;Reichweite.","+1 Rigenerazione Salute.
Uso: Un attacco corpo a corpo con portata +1.","+1 de regeneração de saúde.
Uso: um ataque corpo-a-corpo com +1 de envergadura."
"ITEM_BO_NAME","棍","","Bo","Bô","Bo","Bo","Bo"
"ITEM_BO_DESC","使用：近戰攻擊。命中後向前跳躍 2 格。","","Uso: Lanza un ataque cuerpo a cuerpo. Al golpear, salta 2 casillas hacia delante.","Utilisation&nbsp;: une attaque au corps à corps. Exécutée avec réussite, vous sautez de 2&nbsp;cases vers l'avant.","Benutzen: Ein Nahkampfangriff. Spring 2&nbsp;Felder vorwärts, wenn du triffst.","Uso: Un attacco corpo a corpo. In caso vada a segno, salti in avanti di 2 caselle.","Uso: um ataque corpo-a-corpo. Ao golpear, salte 2 espaços para frente."
"ITEM_BOMB_NAME","炸彈","","Bomba","Bomb","Bombe","Bomba","Bomba"
"ITEM_BOMB_DESC","使用：投擲一顆會爆炸的炸彈。","","Uso: Lanza una bomba que hace explosión.","Utilisation&nbsp;: lance une bombe qui explose.","Benutzen: Wirf eine explodierende Bombe.","Uso: Lanci una bomba che esplode.","Uso: lance uma bomba que explode."
"ITEM_BONECLUB_NAME","骨棒","","Garrote de hueso","Batte tibia","Knochenkeule","Mazza d'Osso","Porrete de Osso"
"ITEM_BONECLUB_DESC","使用：近戰攻擊。`n每次使用此武器有 15% 機率損壞。","","Uso: Lanza un ataque cuerpo a cuerpo.
Esta arma tiene un 15 % de probabilidad de romperse cada vez que se usa.","Utilisation&nbsp;: une attaque au corps à corps.
Cette arme a 15&nbsp;% de chances de se briser à chaque utilisation.","Benutzen: Ein Nahkampfangriff.
Geht nach Benutzung mit 15%iger Wahrscheinlichkeit kaputt.","Uso: Un attacco corpo a corpo.
Quest'arma ha un 15% di probabilità di rompersi ogni volta che viene usata.","Uso: um ataque corpo-a-corpo.
Esta arma possui uma chance de 15% de quebrar a cada vez que é utilizada."
"ITEM_BOOKOFBELIAL_NAME","彼列之書","","Libro de Belial","Livre de Bélial","Buch des Belial","Libro di Belial","Livro de Belial"
"ITEM_BOOKOFBELIAL_DESC","使用：獲得 +3 傷害。`n裝填：擊殺一名敵人。","","Uso: Obtiene +3 de daño.
RECARGA: Mata a un enemigo.","Utilisation&nbsp;: Dégâts +3.
RECHARGE&nbsp;: tuer un ennemi.","Benutzen: Erhalte +3&nbsp;Schaden.
NACHLADEN: Töte einen Gegner.","Uso: Ottieni +3 al Danno.
RICARICA: Uccidi un nemico.","Uso: obtenha +3 de dano.
RECARREGAMENTO: mate um inimigo."
"ITEM_BOTTLES_NAME","玻璃瓶","","Botellas","Bouteilles","Flasche","Bottiglie","Garrafas"
"ITEM_BOTTLES_DESC","使用：可拋射攻擊，生成一格玻璃地形。","","Uso: Lanza un ataque en arco que genera una casilla de cristales.","Utilisation&nbsp;: une attaque en cloche qui fait apparaître une case de verre.","Benutzen: Ein Angriff, der Hindernisse ignoriert und ein Scherbenfeld erschafft.","Uso: Un attacco a parabola che genera una casella di vetro.","Uso: um ataque em arco que gera um espaço de vidro."
"ITEM_BOTTLESOFBLOOD_NAME","血瓶","","Botellas de sangre","Bouteilles de sang","Blutflasche","Bottiglie di Sangue","Garrafas de Sangue"
"ITEM_BOTTLESOFBLOOD_DESC","使用：可拋射攻擊，在範圍內生成玻璃地形。","","Uso: Lanza un ataque en arco que crea casillas de cristales en un área.","Utilisation&nbsp;: une attaque en cloche qui fait apparaître des cases de verre.","Benutzen: Ein Angriff, der Hindernisse ignoriert und Scherbenfeld in einem bestimmten Bereich erschafft.","Uso: Un attacco a parabola che genera caselle di vetro in un'area.","Uso: um ataque em arco que cria espaços de vidro em uma área."
