"KEY","en","notes","sp","fr","de","it","pt-br"
"AREA_NAME_SEWERS_BANNER","下水道","","ALCANTARILLAS","ÉGOUTS","KANALISATION","FOGNE","ESGOTO"
"AREA_NAME_JUNKYARD_BANNER","廢車場","","DESGUACE","DÉCHARGE","SCHROTTPLATZ","DISCARICA","FERRO-VELHO"
"AREA_NAME_CAVES_BANNER","洞窟","","CUEVAS","GROTTES","HÖHLEN","CAVERNE","CAVERNAS"
"AREA_NAME_BONEYARD_BANNER","骸骨墓地","","CEMENTERIO","CIMETIÈRE","FRIEDHOF","CIMITERO","CEMITÉRIO"
"AREA_NAME_MEATWORLD_BANNER","搏動領域","","DOMINIO PALPITANTE","DOMAINE LANCINANT","PULSIERENDES REICH","REGNO PULSANTE","DOMÍNIO PULSANTE"
"AREA_NAME_DESERT_BANNER","沙漠","","DESIERTO","DÉSERT","WÜSTE","DESERTO","DESERTO"
"AREA_NAME_CRATER_BANNER","隕坑","","EL CRÁTER","CRATÈRE","DER KRATER","IL CRATERE","A CRATERA"
"AREA_NAME_BUNKER_BANNER","地堡","","BÚNKER","BUNKER","BUNKER","BUNKER","BUNKER"
"AREA_NAME_MOON_BANNER","月球","","LA LUNA","LUNE","DER MOND","LA LUNA","A LUA"
"AREA_NAME_CORE_BANNER","核心","","EL NÚCLEO","NOYAU","DER KERN","IL NUCLEO","O NÚCLEO"
"AREA_NAME_DIMENSIONX_BANNER","裂隙","","LA GRIETA","FAILLE","DER RISS","LA FENDITURA","A FISSURA"
"AREA_NAME_LAB_BANNER","實驗室","","EL LABORATORIO","LABO","DAS LABOR","IL LABORATORIO","O LABORATÓRIO"
"AREA_NAME_ICEAGE_BANNER","冰河時代","","EDAD DE HIELO","ÂGE DE GLACE","EISZEIT","L'ERA GLACIALE","ERA DO GELO"
"AREA_NAME_JURASSIC_BANNER","侏羅紀","","JURÁSICO","JURASSIQUE","JURA","GIURASSICO","JURÁSSICO"
"AREA_NAME_FUTURE_BANNER","未來","","EL FUTURO","FUTUR","DIE ZUKUNFT","IL FUTURO","O FUTURO"
"AREA_NAME_THEEND_BANNER","終點","","EL FIN","FIN","DAS ENDE","IL FINE","O FIM"
"AREA_NAME_ENDOFTIME_BANNER","∞","","∞","∞","∞","∞","∞"
"","","","","","","",""
"//dynamic strings","","","","","","",""
"WORLDEVENT_ENDBUTTON_MISC","還有別的嗎？","","¿Algo más?","Autre chose&nbsp;?","Was jetzt?","Qualcos'altro?","Mais alguma coisa?"
"WORLDEVENT_ENDBUTTON_REPLACEABILITY","選擇要替換的能力","","Selecciona una habilidad para remplazarla.","Remplacer une compétence","Wähle eine Fähigkeit zum Ersetzen","Seleziona un'abilità da sostituire","Selecione uma habilidade para substituir"
"WORLDEVENT_ENDBUTTON_REPLACEPASSIVE","選擇要替換的被動","","Selecciona una habilidad pasiva para remplazarla.","Remplacer une compétence passive","Wähle einen Passiveffekt zum Ersetzen","Seleziona un'abilità passiva da sostituire","Selecione uma habilidade passiva para substituir"
"WORLDEVENT_ENDBUTTON_TRYAGAIN","再試一次","","Reintentar","Réessayer","Noch einmal versuchen","Riprova","Tentar novamente"
"WORLDEVENT_ENDBUTTON_LEVELUP","升級！","","Subir de nivel","Gain de niveau&nbsp;!","Level Up!","Livello superato!","Novo nível!"
"WORLDEVENT_ENDBUTTON_LEVELUP_CAT","{Catname} 升級了！","","Subir de nivel a {Catname}","{Catname} gagne un niveau&nbsp;!","{Catname} bekommt ein Level Up!","{Catname} ha superato il livello!","{CatName} subiu de nível!"
"WORLDEVENT_ENDBUTTON_LEVELUP_CAT_M","","","","","","",""
"WORLDEVENT_ENDBUTTON_LEVELUP_CAT_F","","","","","","",""
"WORLDEVENT_ENDBUTTON_LEVELUP_CAT_N","","","","","","",""
"WORLDEVENT_ENDBUTTON_FIGHT","戰鬥！","","Luchar","Combat&nbsp;!","Kämpfen!","Combatti!","Luta!"
"WORLDEVENT_ENDBUTTON_AMBUSHED","遭到伏擊！","","¡Ataque por sorpresa!","Embuscade&nbsp;!","Ein Hinterhalt!","Imboscata!","Emboscada!"
"","","","","","","",""
"WORLDEVENT_GET_ITEM_FAIL","{Catname} 嘗試獲得 {itemname}，但失敗了。","","{Catname} no ha podido conseguir esto: {itemname}.","{Catname} a essayé d'obtenir {itemname}, mais a échoué.","{Catname} hat versucht, {itemname} zu bekommen. Es hat nicht geklappt.","{Catname} ha provato a prendere l'oggetto {itemname}, ma ha fallito.","{Catname} tentou obter {itemname}, mas não conseguiu."
"WORLDEVENT_GET_ITEM_FAIL_M","","","","","","",""
"WORLDEVENT_GET_ITEM_FAIL_F","","","","","","",""
"WORLDEVENT_GET_ITEM_FAIL_N","","","","","","",""
"WORLDEVENT_GET_ITEM_SUCCESS","{Catname} 獲得了 {itemname}！","","{Catname} ha conseguido esto: ¡{itemname}!","{Catname} a obtenu {itemname}&nbsp;!","{Catname} erhält {itemname}!","{Catname} ha preso l'oggetto '{itemname}'!","{Catname} obteve {itemname}!"
"WORLDEVENT_GET_ITEM_SUCCESS_M","","","","","","",""
"WORLDEVENT_GET_ITEM_SUCCESS_F","","","","","","",""
"WORLDEVENT_GET_ITEM_SUCCESS_N","","","","","","",""
"WORLDEVENT_LOSE_ITEM","{Catname} 失去了 {itemname}！","","{Catname} ha perdido esto: ¡{itemname}!","{Catname} a perdu {itemname}&nbsp;!","{Catname} hat {itemname} verloren!","{Catname} ha perso l'oggetto '{itemname}'!","{Catname} perdeu {itemname}!"
"WORLDEVENT_LOSE_ITEM_M","","","","","","",""
"WORLDEVENT_LOSE_ITEM_F","","","","","","",""
"WORLDEVENT_LOSE_ITEM_N","","","","","","",""
"WORLDEVENT_LOSE_NOTHING","{Catname} 沒有任何東西可失去。","","{Catname} no tiene nada que perder.","{Catname} n'a rien à perdre.","{Catname} hat nichts zu verlieren.","{Catname} non ha nulla da perdere.","{Catname} não tem nada a perder."
"WORLDEVENT_LOSE_NOTHING_M","","","","","","",""
"WORLDEVENT_LOSE_NOTHING_F","","","","","","",""
"WORLDEVENT_LOSE_NOTHING_N","","","","","","",""
"WORLDEVENT_TAKE_DAMAGE","{Catname} 受到了 {amount} 點傷害！","","¡{Catname} ha sufrido {amount} de daño!","{Catname} a subi {amount} dégâts&nbsp;!","{Catname} hat {amount}&nbsp;Schaden erlitten!","{Catname} ha subito {amount} di danno!","{Catname} sofreu {amount} de dano!"
"WORLDEVENT_TAKE_DAMAGE_M","","","","","","",""
"WORLDEVENT_TAKE_DAMAGE_F","","","","","","",""
"WORLDEVENT_TAKE_DAMAGE_N","","","","","","",""
"WORLDEVENT_PARTY_TAKE_DAMAGE","全隊受到了 {amount} 點傷害！","","¡Todo el grupo ha sufrido {amount} de daño!","L'équipe entière a subi {amount} dégâts&nbsp;!","Die gesamte Gruppe hat {amount}&nbsp;Schaden erlitten!","L'intero gruppo ha subito {amount} di danno!","Todo o grupo sofreu {amount} de dano!"
"WORLDEVENT_PARTY_TAKE_VARYING_DAMAGE","全隊都受到了傷害。","","Todo el grupo ha sufrido daño.","L'équipe entière a subi des dégâts&nbsp;!","Die gesamte Gruppe hat Schaden erlitten.","L'intero gruppo ha subito del danno.","Todo o grupo sofreu dano!"
"WORLDEVENT_PARTY_TAKE_PERCENT_DAMAGE","全隊受到了 {amount}% 傷害！","","¡Todo el grupo ha sufrido un {amount} % de daño!","L'équipe entière a subi {amount}&nbsp;% de dégâts&nbsp;!","Die gesamte Gruppe hat {amount}&nbsp;% Schaden erlitten!","L'intero gruppo ha subito un {amount}% di danno!","Todo o grupo sofreu {amount}% de dano!"
"WORLDEVENT_LEARN_ACTIVE_ABILITY","{Catname} 學會了 {ability}！","","¡{Catname} ha aprendido {ability}!","{Catname} a appris {ability}&nbsp;!","{Catname} hat {ability} gelernt!","{Catname} ha imparato l'abilità attiva '{ability}'!","{Catname} aprendeu {ability}!"
"WORLDEVENT_LEARN_ACTIVE_ABILITY_M","","","","","","",""
"WORLDEVENT_LEARN_ACTIVE_ABILITY_F","","","","","","",""
"WORLDEVENT_LEARN_ACTIVE_ABILITY_N","","","","","","",""
"WORLDEVENT_LEARN_PASSIVE_ABILITY","{Catname} 學會了 {passive}！","","¡{Catname} ha aprendido {passive}!","{Catname} a appris {passive}&nbsp;!","{Catname} hat {passive} gelernt!","{Catname} ha imparato l'abilità passiva '{passive}'!","{Catname} aprendeu {passive}!"
"WORLDEVENT_LEARN_PASSIVE_ABILITY_M","","","","","","",""
"WORLDEVENT_LEARN_PASSIVE_ABILITY_F","","","","","","",""
"WORLDEVENT_LEARN_PASSIVE_ABILITY_N","","","","","","",""
"WORLDEVENT_FAIL_LEARN_ACTIVE_ABILITY","{Catname} 無法學習新的主動能力，因為已沒有可學的新內容。","","{Catname} no ha podido aprender una habilidad activa nueva porque ya no tiene nada que aprender.","{Catname} n'a pas pu apprendre de nouvelle compétence active car {he} n'avait rien de nouveau à apprendre.","{Catname} konnte keine neue Aktivfähigkeit lernen, weil {he} nichts Neues zu lernen hat.","{Catname} non ha potuto imparare una nuova abilità attiva perché non aveva nulla di nuovo da imparare.","{Catname} não conseguiu aprender uma nova habilidade ativa porque não tinha nada de novo para aprender."
"WORLDEVENT_FAIL_LEARN_ACTIVE_ABILITY_M","","","","","","",""
"WORLDEVENT_FAIL_LEARN_ACTIVE_ABILITY_F","","","","","","",""
"WORLDEVENT_FAIL_LEARN_ACTIVE_ABILITY_N","","","","","","",""
"WORLDEVENT_FAIL_LEARN_PASSIVE_ABILITY","{Catname} 無法學習新的被動能力，因為已沒有可學的新內容。","","{Catname} no ha podido aprender una habilidad pasiva nueva porque ya no tiene nada que aprender.","{Catname} n'a pas pu apprendre de nouvelle compétence passive car {he} n'avait rien de nouveau à apprendre.","{Catname} konnte keinen neuen Passiveffekt lernen, weil {he} nichts Neues zu lernen hat.","{Catname} non ha potuto imparare una nuova abilità passiva perché non aveva nulla di nuovo da imparare.","{Catname} não conseguiu aprender uma nova habilidade passiva porque não tinha nada de novo para aprender."
"WORLDEVENT_FAIL_LEARN_PASSIVE_ABILITY_M","","","","","","",""
"WORLDEVENT_FAIL_LEARN_PASSIVE_ABILITY_F","","","","","","",""
"WORLDEVENT_FAIL_LEARN_PASSIVE_ABILITY_N","","","","","","",""
"WORLDEVENT_SWAP_BASIC_ATTACK","{Catname} 的基本攻擊已替換為 {ability}！","","¡El ataque básico de {Catname} se ha remplazado por {ability}!","{Catname} voit son attaque de base être remplacée par {ability}&nbsp;!","Der Grundangriff von {Catname} wurde durch {ability} ersetzt!","L'attacco base di {Catname} è stato sostituito con l'abilità {ability}!","O ataque básico de {Catname} foi substituído por {ability}!"
"WORLDEVENT_SWAP_BASIC_ATTACK_M","","","","","","",""
"WORLDEVENT_SWAP_BASIC_ATTACK_F","","","","","","",""
"WORLDEVENT_SWAP_BASIC_ATTACK_N","","","","","","",""
"WORLDEVENT_SKIP_NEXT_FIGHT","{Catname} 將跳過下一場戰鬥。","","{Catname} se saltará el próximo combate.","{Catname} sautera le prochain combat.","{Catname} wird nicht am nächsten Kampf teilnehmen.","{Catname} salterà il prossimo combattimento.","{Catname} vai pular a próxima luta."
"WORLDEVENT_SKIP_NEXT_FIGHT_M","","","","","","",""
"WORLDEVENT_SKIP_NEXT_FIGHT_F","","","","","","",""
"WORLDEVENT_SKIP_NEXT_FIGHT_N","","","","","","",""
"WORLDEVENT_NEW_PARTY_MEMBER","{Catname} 已加入你的隊伍！","","¡{Catname} se ha unido a tu grupo!","{Catname} a rejoint votre équipe&nbsp;!","{Catname} ist deiner Gruppe beigetreten!","Ora {Catname} fa parte del tuo gruppo!","{Catname} se juntou ao seu grupo!"
"WORLDEVENT_NEW_PARTY_MEMBER_M","","","","","","",""
"WORLDEVENT_NEW_PARTY_MEMBER_F","","","","","","",""
"WORLDEVENT_NEW_PARTY_MEMBER_N","","","","","","",""
"WORLDEVENT_NEW_FOLLOWER","{Catname} 開始跟隨你的隊伍。","","{Catname} ha empezado a seguir al grupo.","{Catname} se met à suivre votre équipe.","{Catname} folgt deiner Gruppe jetzt.","{Catname} ha iniziato a seguire il tuo gruppo.","{Catname} começou a seguir seu grupo!"
"WORLDEVENT_NEW_FOLLOWER_M","","","","","","",""
"WORLDEVENT_NEW_FOLLOWER_F","","","","","","",""
"WORLDEVENT_NEW_FOLLOWER_N","","","","","","",""
"WORLDEVENT_GAIN_DISORDER","{Catname} 獲得了 {disorder}！","","{Catname} ha desarrollado esto: ¡{disorder}!","{Catname} a subi {disorder}&nbsp;!","{Catname} hat {disorder} erlitten!","{Catname} ha contratto il disturbo '{disorder}'!","{Catname} está sofrendo {disorder}!"
"WORLDEVENT_GAIN_DISORDER_M","","","","","","",""
"WORLDEVENT_GAIN_DISORDER_F","","","","","","",""
"WORLDEVENT_GAIN_DISORDER_N","","","","","","",""
"WORLDEVENT_CAT_CANT_LEVEL_UP","...{Catname} 無法升級...","","{Catname} no puede subir de nivel...","... {Catname} ne peut pas monter de niveau...","…&nbsp;{Catname} kann kein Level aufsteigen&nbsp;…","...{Catname} non può salire di livello...","...{Catname} não pode subir de nível..."
"WORLDEVENT_CAT_CANT_LEVEL_UP_M","","","","","","",""
"WORLDEVENT_CAT_CANT_LEVEL_UP_F","","","","","","",""
"WORLDEVENT_CAT_CANT_LEVEL_UP_N","","","","","","",""
"WORLDEVENT_GAIN_COINS","{Catname} 獲得了 {amount} 枚硬幣！","","¡{Catname} ha conseguido {amount} monedas!","{Catname} a obtenu {amount} pièces&nbsp;!","{Catname} hat {amount}&nbsp;Münzen erhalten!","{Catname} ha ottenuto {amount} monete!","{Catname} obteve {amount} moedas!"
"WORLDEVENT_GAIN_COINS_M","","","","","","",""
"WORLDEVENT_GAIN_COINS_F","","","","","","",""
"WORLDEVENT_GAIN_COINS_N","","","","","","",""
"WORLDEVENT_GAIN_1_COIN","{Catname} 獲得了 1 枚硬幣！","","¡{Catname} ha conseguido 1 moneda!","{Catname} a obtenu 1&nbsp;pièce&nbsp;!","{Catname} hat 1&nbsp;Münze erhalten!","{Catname} ha ottenuto 1 moneta!","{Catname} obteve 1 moeda!"
"WORLDEVENT_GAIN_1_COIN_M","","","","","","",""
"WORLDEVENT_GAIN_1_COIN_F","","","","","","",""
"WORLDEVENT_GAIN_1_COIN_N","","","","","","",""
"WORLDEVENT_LOSE_COINS","{Catname} 失去了 {amount} 枚硬幣！","","¡{Catname} ha perdido {amount} monedas!","{Catname} perd {amount} pièces&nbsp;!","{Catname} hat {amount}&nbsp;Münzen verloren!","{Catname} ha perso {amount} monete!","{Catname} perdeu {amount} moedas!"
"WORLDEVENT_LOSE_COINS_M","","","","","","",""
"WORLDEVENT_LOSE_COINS_F","","","","","","",""
"WORLDEVENT_LOSE_COINS_N","","","","","","",""
"WORLDEVENT_LOSE_1_COIN","{Catname} 失去了 1 枚硬幣！","","¡{Catname} ha perdido 1 moneda!","{Catname} a perdu 1&nbsp;pièce&nbsp;!","{Catname} hat 1&nbsp;Münze verloren!","{Catname} ha perso 1 moneta!","{Catname} perdeu 1 moeda!"
"WORLDEVENT_LOSE_1_COIN_M","","","","","","",""
"WORLDEVENT_LOSE_1_COIN_F","","","","","","",""
"WORLDEVENT_LOSE_1_COIN_N","","","","","","",""
"WORLDEVENT_SPEND_COINS","{Catname} 交出了 {amount} 枚硬幣。","","{Catname} entrega {amount} monedas.","{Catname} donne {amount} pièces.","{Catname} bezahlt {amount}&nbsp;Münzen.","{Catname} consegna {amount} monete.","{Catname} entrega {amount} moedas!"
"WORLDEVENT_SPEND_COINS_M","","","","","","",""
"WORLDEVENT_SPEND_COINS_F","","","","","","",""
"WORLDEVENT_SPEND_COINS_N","","","","","","",""
"WORLDEVENT_SPEND_1_COIN","{Catname} 交出了 1 枚硬幣。","","{Catname} entrega 1 moneda.","{Catname} donne 1&nbsp;pièce.","{Catname} bezahlt 1&nbsp;Münze.","{Catname} consegna 1 moneta.","{Catname} entrega 1 moeda!"
"WORLDEVENT_SPEND_1_COIN_M","","","","","","",""
"WORLDEVENT_SPEND_1_COIN_F","","","","","","",""
"WORLDEVENT_SPEND_1_COIN_N","","","","","","",""
"WORLDEVENT_GAIN_FOOD","{Catname} 儲存了 {amount} 份食物！","","¡{Catname} ha almacenado {amount} de comida!","{Catname} obtient {amount} nourritures&nbsp;!","{Catname} hat {amount}&nbsp;Futter bekommen!","{Catname} ha accumulato {amount} unità di cibo!","{Catname} guardou {amount} alimentos!"
"WORLDEVENT_GAIN_FOOD_M","","","","","","",""
"WORLDEVENT_GAIN_FOOD_F","","","","","","",""
"WORLDEVENT_GAIN_FOOD_N","","","","","","",""
"WORLDEVENT_GAIN_1_FOOD","{Catname} 儲存了 1 份食物！","","¡{Catname} ha almacenado 1 de comida!","{Catname} obtient 1&nbsp;nourriture&nbsp;!","{Catname} hat 1&nbsp;Futter bekommen!","{Catname} ha conservato 1 unità di cibo!","{Catname} guardou 1 alimento!"
"WORLDEVENT_GAIN_1_FOOD_M","","","","","","",""
"WORLDEVENT_GAIN_1_FOOD_F","","","","","","",""
"WORLDEVENT_GAIN_1_FOOD_N","","","","","","",""
"WORLDEVENT_LOSE_FOOD","{Catname} 失去了 {amount} 份食物！","","¡{Catname} ha almacenado 1 de comida!","{Catname} obtient 1&nbsp;nourriture&nbsp;!","{Catname} hat 1&nbsp;Futter bekommen!","{Catname} ha conservato 1 unità di cibo!","{Catname} guardou 1 alimento!"
"WORLDEVENT_LOSE_FOOD_M","","","","","","",""
"WORLDEVENT_LOSE_FOOD_F","","","","","","",""
"WORLDEVENT_LOSE_FOOD_N","","","","","","",""
"WORLDEVENT_LOSE_1_FOOD","{Catname} 失去了 1 份食物！","","¡{Catname} ha almacenado 1 de comida!","{Catname} obtient 1&nbsp;nourriture&nbsp;!","{Catname} hat 1&nbsp;Futter bekommen!","{Catname} ha conservato 1 unità di cibo!","{Catname} guardou 1 alimento!"
"WORLDEVENT_LOSE_1_FOOD_M","","","","","","",""
"WORLDEVENT_LOSE_1_FOOD_F","","","","","","",""
"WORLDEVENT_LOSE_1_FOOD_N","","","","","","",""
"WORLDEVENT_INJURY_PREVENTED","{Catname} 本該受到傷勢，但因免疫而避免了！","","{Catname} debería haber sufrido una lesión, pero ¡es inmune!","{Catname} a évité une blessure grâce à son immunité&nbsp;!","{Catname} wäre eigentlich verletzt worden, ist aber immun!","{Catname} avrebbe dovuto subire una ferita, ma era immune!","{Catname} deveria ter sofrido um ferimento, mas estava imune!"
"WORLDEVENT_INJURY_PREVENTED_M","","","","","","",""
"WORLDEVENT_INJURY_PREVENTED_F","","","","","","",""
"WORLDEVENT_INJURY_PREVENTED_N","","","","","","",""
"WORLDEVENT_SUFFER_INJURY","{Catname} 受到了 {injury}！","","{Catname} se ha lesionado: ¡{injury}!","{Catname} a subi {injury}&nbsp;!","{Catname} erleidet: {injury}!","{Catname} ha subito la ferita '{injury}'!","{Catname} sofreu {injury}!"
"WORLDEVENT_SUFFER_INJURY_M","","","","","","",""
"WORLDEVENT_SUFFER_INJURY_F","","","","","","",""
"WORLDEVENT_SUFFER_INJURY_N","","","","","","",""
"WORLDEVENT_CURE_INJURY","{Catname} 的 {injury} 已痊癒！","","{Catname} se ha recuperado de esto: ¡{injury}!","{Catname} a perdu {injury}&nbsp;!","{injury} von {Catname} wurde geheilt!","La ferita '{injury}' di {Catname} è stata curata!","O ferimento {injury} de {Catname's} foi curado!"
"WORLDEVENT_CURE_INJURY_M","","","","","","",""
"WORLDEVENT_CURE_INJURY_F","","","","","","",""
"WORLDEVENT_CURE_INJURY_N","","","","","","",""
"WORLDEVENT_CURE_DISORDER","{Catname} 失去了 {disorder}！","","{Catname} ya no tiene esto: ¡{disorder}!","{Catname} ne subit plus {disorder}&nbsp;!","{Catname} leidet nicht mehr unter {disorder}!","{Catname} ha perso il disturbo '{disorder}'!","{Catname} não está mais sofrendo {disorder}!"
"WORLDEVENT_CURE_DISORDER_M","","","","","","",""
"WORLDEVENT_CURE_DISORDER_F","","","","","","",""
"WORLDEVENT_CURE_DISORDER_N","","","","","","",""
"WORLDEVENT_FULL_HEAL","{Catname} 已完全回復。","","{Catname} se ha curado por completo.","{Catname} a récupéré tous ses PV&nbsp;!","{Catname} wurde vollständig geheilt.","","{Catname} se curou totalmente."
"WORLDEVENT_FULL_HEAL_M","","","","","","{Catname} è guarito completamente.",""
"WORLDEVENT_FULL_HEAL_F","","","","","","{Catname} è guarita completamente.",""
"WORLDEVENT_FULL_HEAL_N","","","","","","{Catname} è ora completamente in salute.",""
"WORLDEVENT_HEAL","{Catname} 回復了 {amount} 生命。","","{Catname} ha recuperado {amount} PS.","{Catname} a récupéré {amount} PV.","{Catname} wurde um {amount}&nbsp;LP geheilt.","{Catname} ha recuperato {amount} di salute.","{Catname} curou {amount} de saúde."
"WORLDEVENT_HEAL_M","","","","","","",""
"WORLDEVENT_HEAL_F","","","","","","",""
"WORLDEVENT_HEAL_N","","","","","","",""
"WORLDEVENT_PARTY_HEAL","全隊回復了 {amount} 生命。","","Todo el grupo ha recuperado {amount} PS.","L'équipe entière a récupéré {amount} PV.","Die gesamte Gruppe wurde um {amount}&nbsp;LP geheilt.","L'intero gruppo ha recuperato {amount} di salute.","Todo o grupo curou {amount} de saúde."
"WORLDEVENT_PARTY_HEAL_PERCENT","全隊回復了 {amount}% 生命。","","Todo el grupo ha recuperado un {amount} % de salud.","L'équipe entière a récupéré {amount}&nbsp;% de PV.","Die gesamte Gruppe wurde um {amount}&nbsp;% geheilt.","L'intero gruppo ha recuperato un {amount}% di salute.","Todo o grupo curou {amount}% de saúde."
"WORLDEVENT_CHANGE_STATS","{Catname} 獲得了 {statchanges}","{statchanges} is icons and no actual text. Will look like ""Fluffy got +1[img:str], -1[img:con]"" in context
","{Catname} ha recibido {statchanges}.","{Catname} a obtenu {statchanges}","{Catname} erhält {statchanges}","{Catname} ha ottenuto {statchanges}","{Catname} obteve {statchanges}"
"WORLDEVENT_CHANGE_STATS_M","","","","","","",""
"WORLDEVENT_CHANGE_STATS_F","","","","","","",""
"WORLDEVENT_CHANGE_STATS_N","","","","","","",""
"WORLDEVENT_GREW_OLD","{Catname} 變得年老而疲憊！","","¡{Catname} se ha hecho mayor y ya no tiene fuerzas!","{Catname} est devenu vieux et épuisé&nbsp;!","{Catname} ist alt und gebrechlich geworden!","","{Catname} envelheceu!"
"WORLDEVENT_GREW_OLD_M","","","","","","{Catname} è diventato vecchio e stanco!",""
"WORLDEVENT_GREW_OLD_F","","","","","","{Catname} è diventata vecchia e stanca!",""
"WORLDEVENT_GREW_OLD_N","","","","","","{Catname} soffre di vecchiaia e stanchezza!",""
